"sponsor","district","party","number","short_description","chamber","last_action","last_action_date"
"Pamela J. Althoff","32","R","SB1949","FINANCE-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB1950","MUNI CD-PUBLIC FUNDS INVEST","S","Public Act . . . . . . . . . 98-0297","8/9/2013"
"Pamela J. Althoff","32","R","SB1951","REVENUE-TRANSFERS","S","Public Act . . . . . . . . . 98-0298","8/9/2013"
"Pamela J. Althoff","32","R","SB2011","GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2012","GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2013","GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2047","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2105","STATE BUDGET-GOMB PUBLISH-WEB","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2106","GOVT TRANSPARENCY TASK FORCE","S","Public Act . . . . . . . . . 98-0580","8/27/2013"
"Pamela J. Althoff","32","R","SB2107","STATE GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2136","AUTOMATIC TELEPHONE DIALERS","S","Public Act . . . . . . . . . 98-0546","8/26/2013"
"Pamela J. Althoff","32","R","SB2139","ROAD FUND REVENUE","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2140","MOTOR FUEL TAX FUND USE","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2237","GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2249","IDPH-PRIVATE BURIAL","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2355","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2592","ELEC CD-ELECTION COMMISSIONERS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2598","SUBDIVISION ROAD TAXES","S","Public Act . . . . . . . . . 98-0818","8/1/2014"
"Pamela J. Althoff","32","R","SB2617","SCH CD-BLOCK GRANTS-CHICAGO","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2647","SCH CD-ZONING COMPLIANCE","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2648","PUBLIC WORKS-HAZARDOUS TREES","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2649","PEN CD-TRANSFER-ART 5 TO ART 3","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2665","WATERCRAFT TOWING","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2732","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2733","BOATING SAFETY REQUIREMENTS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2768","GRANT ACCOUNTABILITY ACT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2769","ORGAN DONOR LEAVE-BLOOD DONORS","S","Public Act . . . . . . . . . 98-0758","7/16/2014"
"Pamela J. Althoff","32","R","SB2770","PUB WATER SUPPLY OPERATIONS","S","Public Act . . . . . . . . . 98-0856","8/4/2014"
"Pamela J. Althoff","32","R","SB2839","IHPA-AMISTAD&FREDOM TRAIL COMM","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2840","STATE GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2841","CTY CD-ADMIN ORDER FINES","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2842","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2843","LOCAL GOVERNMENT-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2844","REGULATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2845","TRANSPORTATION-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2888","REVENUE-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB2889","REVENUE-TECH","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3035","NURS HOME-RECEIVER REIMBURSE","S","Public Act . . . . . . . . . 98-0765","7/16/2014"
"Pamela J. Althoff","32","R","SB3036","PROP TX-COLLECTOR'S BOOKS","S","Public Act . . . . . . . . . 98-0840","8/1/2014"
"Pamela J. Althoff","32","R","SB3037","MIN WAGE-OVERTIME-EXEMPTION","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3112","CONSUMER FRAUD-BROADCAST SVC","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3276","TREASURER-ADMIN CHARGE","S","Public Act . . . . . . . . . 98-0965","8/15/2014"
"Pamela J. Althoff","32","R","SB3277","PHARMACISTS-MENINGITIS","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3278","USE/OCC-MPC EXTEND","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3341","CONSERVATION DISTRICT-DEBT","S","Public Act . . . . . . . . . 98-1168","1/9/2015"
"Pamela J. Althoff","32","R","SB3342","CONSERV DIST-ENDANGRED SPECIES","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3388","INC TX-R AND D CREDIT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3495","QUICKTAKE-MCHENRY COUNTY","S","Public Act . . . . . . . . . 98-0852","8/1/2014"
"Pamela J. Althoff","32","R","SB3499","PROP TAX-BD OF REVIEW-TAX REP","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3503","PROP TX-ASSESSORS-BD OF REVIEW","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SB3513","NURSE LICENSURE COMPACT","S","Session Sine Die","1/13/2015"
"Pamela J. Althoff","32","R","SR161","MEMORIAL - ROBERT COVEY","S","Resolution Adopted","3/14/2013"
"Pamela J. Althoff","32","R","SR202","MEMORIAL PATRICIA A FLOETER","S","Resolution Adopted","4/12/2013"
"Pamela J. Althoff","32","R","SR215","MEMORIAL - DONALD MUSIELAK","S","Resolution Adopted","4/12/2013"
"Pamela J. Althoff","32","R","SR221","MEMORIAL - RAYMOND PIERONI","S","Resolution Adopted","4/12/2013"
"Pamela J. Althoff","32","R","SR249","MEMORIAL - JAMES O'DONNELL","S","Resolution Adopted","4/25/2013"
"Pamela J. Althoff","32","R","SR250","MEMORIAL - SANDRA HUFF","S","Resolution Adopted","4/25/2013"
"Pamela J. Althoff","32","R","SR270","MEMORIAL - JAMES THOMPSON","S","Resolution Adopted","5/2/2013"
"Pamela J. Althoff","32","R","SR271","MEMORIAL - MARGE OLSZEWKI","S","Resolution Adopted","5/2/2013"
"Pamela J. Althoff","32","R","SR272","MEMORIAL FERDINAND J STRANG SR","S","Resolution Adopted","5/2/2013"
"Pamela J. Althoff","32","R","SR312","MEMORIAL JOYCE E DWYER","S","Resolution Adopted","5/17/2013"
"Pamela J. Althoff","32","R","SR320","MEMORIAL - MARY ANN HENLEY","S","Resolution Adopted","5/24/2013"
"Pamela J. Althoff","32","R","SR321","MEMORIAL - LEROY WEGENER","S","Resolution Adopted","5/24/2013"
"Pamela J. Althoff","32","R","SR361","MEMORIAL - DONALD PEASLEY","S","Resolution Adopted","6/19/2013"
"Pamela J. Althoff","32","R","SR373","MEMORIAL - JOHN SEVERS SR.","S","Resolution Adopted","6/19/2013"
"Pamela J. Althoff","32","R","SR374","MEMORIAL - NORMAN E. HEINRICH","S","Resolution Adopted","6/19/2013"
"Pamela J. Althoff","32","R","SR380","MEMORIAL - JOHN L. TOLER","S","Resolution Adopted","6/19/2013"
"Pamela J. Althoff","32","R","SR385","MEMORIAL - JACK SLAUGHTER SR.","S","Resolution Adopted","6/19/2013"
"Pamela J. Althoff","32","R","SR389","MEMORIAL - ARTHUR TIFFANY","S","Resolution Adopted","7/9/2013"
"Pamela J. Althoff","32","R","SR395","MEMORIAL - BART WINN JR","S","Resolution Adopted","7/9/2013"
"Pamela J. Althoff","32","R","SR424","MEMORIAL - GERALD DRAFFKORN SR","S","Resolution Adopted","7/9/2013"
"Pamela J. Althoff","32","R","SR425","MEMORIAL - ROBERT HURLEY","S","Resolution Adopted","7/9/2013"
"Pamela J. Althoff","32","R","SR426","MEMORIAL - ANTHONY V. FICK","S","Resolution Adopted","7/9/2013"
"Pamela J. Althoff","32","R","SR427","MEMORIAL - PATRICIA WAGNER","S","Resolution Adopted","7/9/2013"
"Pamela J. Althoff","32","R","SR437","MEMORIAL - FREDERICK W. NOBLE","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR440","MEMORIAL - VALERIA WOLFF","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR441","MEMORIAL - MARY ANN RUGGERO","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR448","MEMORIAL - JOANNE T. STANEK","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR449","MEMORIAL - DONALD J. FOLZ","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR456","MEMORIAL - DOLORES J. POLIZZI","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR457","MEMORIAL - DON UTHE","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR469","MEMORIAL - JOSEPH KNOX","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR513","MEMORIAL - BARBARA A. SCHMIEGE","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR514","MEMORIAL - JOHN EDWARD KELSEY","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR515","MEMORIAL - KENNETH LATIMER","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR516","MEMORIAL - MARLENE J. ARVIDSON","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR517","MEMORIAL - LILAS JEAN BEEBE","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR519","MEMORIAL - JEROME JOHNSON","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR520","MEMORIAL - SAMUEL OGINNI","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR521","MEMORIAL - JOHN WENZLAFF","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR529","MEMORIAL - GERTRUDE SWARD","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR534","MEMORIAL - EARL E. DUFFY","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR547","MEMORIAL - ELEANORE REID","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR566","MEMORIAL - ROBERT GERLOFF","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR574","MEMORIAL - PATRICIA ORLOFF","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR575","MEMORIAL - JIM HARTKE","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR576","MEMORIAL - JOHN ROURKE","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR577","MEMORIAL - PATRICIA A. HALEY","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR578","MEMORIAL - EDWARD A. BRYANT","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR579","MEMORIAL - JANICE SPELLA","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR613","MEMORIAL - CHRISTINE FREUND","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR614","MEMORIAL - MADELINE BOLGER","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR615","MEMORIAL - ANNA KENNY","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR616","MEMORIAL - KENNETH STEINLEIN","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR617","MEMORIAL - GREG MCCOY","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR632","MEMORIAL - BETH ANN KLYCZEK","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR633","MEMORIAL - WANDA G. PALMER","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR637","MCCD DAY","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR646","MEMORIAL - MATTHEW PORTER","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR647","MEMORIAL - ROBERT GAGNON","S","Resolution Adopted","10/23/2013"
"Pamela J. Althoff","32","R","SR658","MEMORIAL - MARY ALICE BUDRECK","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR659","MEMORIAL - ANNETTE BROGAN","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR663","MEMORIAL - DARRELL H. EVERETT","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR672","SMALL BUSINESS SATURDAY","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR677","MEMORIAL - JOHN L. ORSO","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR678","MEMORIAL - RALPH. E. JOHNSTON","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR679","MEMORIAL - KENNETH W. OLESON","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR680","MEMORIAL - EDWARD HUGHES","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR681","MEMORIAL - GLORIA SCHOLZ","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR690","MEMORIAL - LOU SVADLENKA","S","Resolution Adopted","11/7/2013"
"Pamela J. Althoff","32","R","SR695","MEMORIAL - LEE A. KURTH","S","Resolution Adopted","12/3/2013"
"Pamela J. Althoff","32","R","SR713","MEMORIAL - BERT W. FARM","S","Resolution Adopted","12/3/2013"
"Pamela J. Althoff","32","R","SR714","MEMORIAL - LORRAINE L. HUFFMAN","S","Resolution Adopted","12/3/2013"
"Pamela J. Althoff","32","R","SR715","MEMORIAL - JOHN MAY","S","Resolution Adopted","12/3/2013"
"Pamela J. Althoff","32","R","SR716","MEMORIAL - FAY MILLER","S","Resolution Adopted","12/3/2013"
"Pamela J. Althoff","32","R","SR717","MEMORIAL - HERMAN KRUEGER","S","Resolution Adopted","12/3/2013"
"Pamela J. Althoff","32","R","SR748","MEMORIAL - ROBERT POPOVICH","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR749","MEMORIAL - ELIZABETH RITT","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR752","MEMORIAL - RICHARD KAZIMIER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR753","MEMORIAL - F. JAMES LUMBER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR761","MEMORIAL - BETTY LESLIE","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR768","MEMORIAL - DOLORES BELOHLAVY","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR769","MEMORIAL - GRACE F. ANNARELLA","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR770","MEMORIAL S. RASMUSSEN-HEISLER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR771","MEMORIAL - GORDON LOHMEYER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR772","MEMORIAL - ANTON SCHARKO","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR773","MEMORIAL - DAVID J. TIETJEN","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR774","MEMORIAL - INEZ E. KNAACK","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR775","MEMORIAL - LAWRENCE LEEKE, JR.","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR776","MEMORIAL - BARBARA A. ROUS","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR777","MEMORIAL - MAYNARD WHITE","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR778","MEMORIAL - DARLENE GOEWEY","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR792","MEMORIAL - MICHAEL A. HANSEN","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR793","MEMORIAL - ROBERT PAULSON","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR813","MEMORIAL - DR. SANTO RUGGERO","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR814","MEMORIAL - RAY A. MOORE","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR815","MEMORIAL - ARLINE G. CRAWFORD","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR816","MEMORIAL - RANDALL JOHNSON","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR817","MEMORIAL - MARIAN ENGSTROM","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR818","MEMORIAL - DORIS ANDREWS","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR819","MEMORIAL - BETTY J. JACKSON","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR820","MEMORIAL - EDWARD SCHROEDER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR821","MEMORIAL - ROBERT RHEAD","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR839","MEMORIAL - WILLIAM TEGTMEIER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR840","MEMORIAL - LYLE WALTER","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR841","MEMORIAL - JOHN J. SHAY","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR848","MEMORIAL - MARIE A. VOS","S","Resolution Adopted","1/29/2014"
"Pamela J. Althoff","32","R","SR859","MEMORIAL - LOUIS HORWATH","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR867","MEMORIAL - LUCELLE R. KRASUCKI","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR868","MEMORIAL - LEONARD D. SOSINSKI","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR869","MEMORIAL - ROBERT T. CENAR","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR875","MEMORIAL - JESSIE WINKELMAN","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR876","MEMORIAL - PATRICIA KELLOGG","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR877","MEMORIAL - ARLENE CARL","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR878","MEMORIAL - MICHELLE ERICSON","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR879","MEMORIAL - FRANK MANSFIELD","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR880","MEMORIAL - MARION SCHWARZ","S","Resolution Adopted","2/5/2014"
"Pamela J. Althoff","32","R","SR915","MEMORIAL - DR. JOSEPH C MORTON","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR919","MEMORIAL - JAMES A. STUPAR","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR920","MEMORIAL - WALTER E. SCHULTZ","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR921","MEMORIAL - RAYMOND G. CHISHOLM","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR922","MEMORIAL - JOHN KREAMCHECK","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR923","MEMORIAL - JAMES MILLER","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR924","MEMORIAL - RAYMOND ROBERTS","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR925","MEMORIAL - JEROLD R. CORDREY","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR926","MEMORIAL - MATTHEW SCHOLLE","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR927","MEMORIAL - PATRICIA J. NEBGEN","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR928","MEMORIAL - DARLENE C. AEVERMAN","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR929","MEMORIAL - EDWARD GUETTLER","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR930","MEMORIAL - EUGENE SVOBODA","S","Resolution Adopted","2/20/2014"
"Pamela J. Althoff","32","R","SR971","MEMORIAL - DIANE SHOGREN","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR972","MEMORIAL - JAMES S. TONYAN","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR973","MEMORIAL - DAVID MURREY","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR974","MEMORIAL  J. ANDERSON-SCHNULLE","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR975","MEMORIAL - ROBERT G. NELSON","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR976","MEMORIAL - JEAN M. SCHUETTE","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR977","MEMORIAL - GEORGE ROSE, JR.","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR978","MEMORIAL - JOHN SHERWOOD","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR979","MEMORIAL - LOIS DEWANE","S","Resolution Adopted","3/6/2014"
"Pamela J. Althoff","32","R","SR980","MEMORIAL - JUDITH HUTCHINSON","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR986","MEMORIAL - RONALD J. KRESS","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR987","MEMORIAL - JEANNINE I. BURGER","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR988","MEMORIAL - LEONARD H. THENNES","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR989","MEMORIAL - BARBARA MCDONALD","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR990","MEMORIAL - RANDALL RAABE","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR991","MEMORIAL - EUGENE A. ROSIO","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR992","MEMORIAL - MICHAEL W. WURTZ","S","Resolution Adopted","3/21/2014"
"Pamela J. Althoff","32","R","SR1020","MEMORIAL - EDWARD T. WINN","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1021","MEMORIAL - LORI L. ARONSON","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1022","MEMORIAL - JOHN H. BIEDERMAN","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1023","MEMORIAL - EDWARD A. KRYSIAK","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1024","MEMORIAL - VICKI A. RODRIGUEZ","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1025","MEMORIAL - MARTHA LAWLESS","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1026","MEMORIAL - KATHLEEN M. REGNER","S","Resolution Adopted","3/27/2014"
"Pamela J. Althoff","32","R","SR1027","MEMORIAL - JANE L. COLLINS","S","Resolution Adopted","3/27/2014"
